cbg,cost,L_Demographic_similarity,G_Distance_between_cbg_and_store
360470423003,0.6888912344999736,36.43896503755264,6.344702154808333
360470429003,0.7300604768970888,9.306576236765187,1.7515867876451332
360470429004,0.8274646001071974,14.697614317433498,1.0176844807764382
360470449004,0.6634493265796036,1.8267558053571404,20.016982717577704
360470460001,0.675263593144531,1.0990865552747735,2.701643537657418
360470460002,0.6361076064485341,9.489185542159861,2.43740278769934
360470489001,0.42277148554483823,4.198801214541777,9.520430321799012
360470489003,0.3661092401920295,16.611596199148742,13.90732872981599
360470491001,0.6172514878494064,33.75826768439036,24.915485031044067
360470508031,0.579510628331216,10.573474737893694,3.0526145525993833
360470510022,0.5300559145675523,1.2456256245786221,3.4453545061887225
360470510023,0.5903672306294996,9.337891627347497,2.675838146138087
360470512002,0.5162438184061904,26.57683912737238,3.779865233756027
360470512003,0.552181655405231,39.3630520302197,3.683654311075833
360470512004,0.5571258168372595,1.2926942498513831,3.6638942499307383
360470514003,0.5050142100929667,34.87125794298519,4.521760159382566
360470514004,0.409943898848503,5.999732877281366,4.4701840163689415
360470516022,0.3086003480114887,30.03069707631463,26.216869062838615
360470531004,0.8996929991027895,11.845862414779663,1.770042966180327
360470543002,0.7689658915302328,9.40021760442815,5.999115523926418
360470545004,no visitors,no visitors,no visitors
360470545005,0.5862132181623205,2.4729281033686874,16.798061938472973
360470545006,0.6787747363856393,24.207785936946557,7.647531954355806
360470561001,0.8840738596611618,38.667822665521435,1.6275400918409417
360470143002,0.4467750421580975,1.9962775250477307,14.63013047640737
360470143003,0.3535654323289176,1.1254665339371985,9.368756226625004
360470145002,0.06634121931216963,27.52344959576569,11.08743295702951
360470145004,0.23131352265004623,1.9055296923902532,12.973055365624472
360470145001,0.1442520577805565,39.94800776110564,11.516422709827054
360470145003,0.07938245775893815,1.6989408048420032,26.203343776449397
360470147001,0.3004058346180344,2.4236609653811456,39.69883424623275
360470147002,0.12671778638286857,1.1095951077701587,16.42517802078542
360470148001,0.32966543922278535,3.797800510863519,6.56421562931291
360470148002,0.4356339942820032,14.503553799367253,3.852917888832195
360470149001,0.8608592828069732,30.533189448005547,2.328627638054229
360470149002,0.41509698664728734,27.2428772032576,30.960140568844622
360470149003,0.23522691388065164,26.82428940825168,39.58942559870445
360470149004,0.17808845901440695,2.0411358726934536,28.14554614157012
360470149005,0.7842511303479208,7.770926904534251,2.791268313364884
360470001001,0.49751871121449354,15.40696887308529,7.624815366241054
360470726001,0.37065250302245245,1.0477466443215633,10.858217294971674
360470666001,0.1875661769214606,22.349613919091624,39.97827101014305
360470758001,0.6909236299837955,1.0717662049695136,4.833892201499257
360470758002,0.6645453164211903,32.6229621181705,3.2060530292214704
360470001003,0.6396222299891767,3.0898098455439325,5.549899254193056
360470001002,0.5795715501495319,32.33840490841291,7.053335062691813
360470002001,0.04071886697002913,23.135641541296522,7.393908489180513
360470003012,0.16074886364350505,38.13997096544794,28.888993400278434
360470003013,0.5105111954160184,5.901590125114399,5.893933704382405
360470003014,0.5895214214849807,14.907620332655046,5.010311607459116
360470003011,0.6107151015138588,12.78892949903293,4.672852314306694
360470425002,0.37617906373497656,9.767748489090941,39.992228257998924
360470425003,0.7365172900580368,36.02683032863247,1.426655439483909
360470445003,0.6664620163026423,3.9007186232265205,3.068492623036573
360470445001,0.7664750670375234,32.45520540638869,2.9569064634086573
360470446001,0.6256763936050966,1.0715251416323806,6.260523239666352
360470446002,0.4768027740117662,33.06846437760716,4.132698869583038
360470447001,0.6702790922919044,4.095698859539745,2.1511523763032017
360470447002,0.9328011832886821,1.1159868328704192,8.385793986195818
360470448001,0.4766553135987345,39.22323047334018,22.296806537739982
360470450001,0.7881034812982802,11.351321717110121,2.735682743675028
360470452001,0.44474904431198947,10.430056397748086,8.049645846975512
360470452002,0.7150186202580732,18.83539766667344,4.604888915959265
360470453001,0.7506529491565808,19.496769107144285,1.5127901293689803
360470453002,0.8087941390973814,31.27848068351859,1.804023902962486
360470454002,0.4963541126552282,23.52393979156691,5.551402780588219
360470454001,0.780034559928113,24.495045283858342,1.8926530163940285
360470456002,0.6204920207268029,31.417855505366887,3.2858340807922963
360470456001,0.6480911868001462,13.812741167096576,2.842818549135707
360470458001,0.7885806278828196,2.0178503537837855,2.4292963424766967
360470458002,0.6516226176119564,19.913347822934455,30.75495650328221
360470462012,0.687369600117743,26.573174403573518,2.5080140615417434
360470462011,0.6487266650046429,21.411067443376858,2.658491508729368
360470462021,0.6616568698178358,29.88098326622831,2.8623056618427825
360470462022,0.7815376584672005,31.682330870866473,2.0225736905020213
360470464002,0.3698149489699756,32.82928516060487,39.61802918264408
360470464001,0.7492935436025517,30.724132839758735,2.758941004215969
360470468001,0.2078180159895554,25.302765228734376,9.94157717517016
360470470001,0.4247171622423471,24.27068072029642,39.96351830944232
360470470002,0.3177800263303522,33.738981745153446,8.917043846718336
360470830001,0.5139000014993471,22.770106543395144,5.182587306739398
360470830002,0.5694422049012842,2.061615131348269,12.809246266046102
360470832001,0.32100382221565116,30.096532201818384,25.421005948483042
360470832002,0.5145630703577182,1.0007816954394002,14.371169877606377
360470834001,0.480817549186893,25.696587701540352,10.243859281450092
360470834002,0.2502058565263938,1.1033801954842861,39.96984228141546
360470836002,0.07768938806748904,28.27050949628356,28.3290645749214
360470836001,0.0867540072920654,23.029555493490363,23.73776439233076
360470838001,0.1762024005170083,35.762126996440095,29.215083605513115
360470838002,0.11876260125138305,5.739267398416011,28.791260708982715
360470840001,0.1863636778266542,2.322935608887879,39.971740158401
