cbg,cost,H_Area_of_store,G_Distance_between_cbg_and_store
360470594016,0.294092360850016,10.316650548997035,22.505646527331635
360470594015,0.43224812589175776,2.5664656214008303,5.80201307591744
360470594022,0.032750159237946774,6.56311836480178,15.293752030827182
360470594024,0.18490760167990927,5.042438215683831,10.380921642488813
360470594023,0.061002134815479225,6.97372406696833,14.17496031234134
360470594021,0.06012035600441501,7.32223743508788,16.214302968695737
360470596003,0.09515613292483482,4.577531967342824,11.06328287222782
360470596002,0.20173470430271956,5.973448878311444,11.225039571121656
360470596001,0.08838234308918769,9.468683535026171,19.9080005629342
360470598002,0.1781728312743417,2.855422606183545,6.292389169461749
360470598001,0.08180302905955328,3.9684762863943983,8.881552010100666
360470600004,0.13560980096614406,3.2200818176011126,7.985017006324414
360470600003,0.24753284606446735,4.372373834514745,8.761736521040785
360470526002,0.6588072376775378,1.6413387885057595,5.14976246440871
360470527005,0.7003381218538927,1.9112468676374696,5.744570992785713
360471152003,0.24571056298953386,3.320703608713942,16.92794449655326
360471152002,0.40026108606629895,2.5946891589619714,13.877063108759977
360471156003,0.03703071539094949,2.3144616300773593,37.36917351392668
360471156002,0.07333541522855502,1.4184396302672795,38.84877259085771
360471156001,0.027280309197298402,8.225520139237286,34.51444388949003
360471156004,0.006789718436003289,3.381393423790361,38.991332987233946
360471158002,0.06308965888386486,6.003579202602191,27.219965198872323
360471158001,0.05755277777761858,5.524848558812038,25.95250062828576
360471160002,0.14966983545975354,4.874301352360533,23.28249537287515
360471160003,0.33614463499692127,5.985787951759171,26.249304568981785
360471160001,0.12033855871063259,5.341885302109716,26.539111269138182
360471162002,0.24029970735378292,7.445580058316295,36.14680551570393
360471162003,0.23194479378251776,4.673707140957021,21.466624574075027
360471162001,0.35105297409505853,7.840453866451797,37.30167143740124
360471164002,0.21445629390145404,7.675308301912796,32.621100208208034
360471164003,0.24234985008617482,3.529688923469611,16.132597397588626
360471164001,0.35116596516867515,2.9965466420157845,12.830586556675975
360471166002,0.29010318678122415,1.2909622690938898,7.836446032873376
360471166003,0.33561503131017123,2.463033220235979,12.273840937822513
360471166001,0.5816631058844741,1.4119738670675919,4.9995725940714575
360471168002,0.31916702634628424,1.9335516179714034,13.432528779151658
360471168001,0.16151625688768612,2.16960885812285,39.89354457133072
360471170002,0.45533089143147065,2.7840203302236546,18.381659181621387
360471170001,0.43045656459319903,1.0643013005408335,11.170301931409627
360471172011,0.623505281941252,1.6257869688953324,8.811346249792418
360471172012,0.48725004814384687,1.4893506660914255,16.013523710234836
360471172022,0.13528025901404817,2.0719893358654957,39.524205677429386
360471172021,0.20219328012570004,1.494202488577675,22.15671447580467
360471174001,0.08898372181122272,3.5913261988629017,38.26227734042874
360471174002,0.02219424406959425,2.0546668274421833,35.773175946842116
360471176011,0.27209875247872184,4.925633035529117,38.49153936066531
360470286005,0.0979697591327956,1.3457063853402609,8.226336784216754
360470300002,0.18706799580841582,1.1066110990056832,8.655214215677207
360470302003,0.15494505493764765,1.22365320829185,3.528260062873125
360470305002,0.4513744342028094,1.903024273730205,14.350012081717107
360470305003,0.4637384236425187,3.584205884912042,13.135574774500402
360470305004,0.4888034212705564,3.7063519975275767,15.781166450993172
360470336002,0.25448388818166146,1.6747963689136327,5.082581104775429
360470336004,0.3602826162800198,2.124511848198921,5.138419667327849
360470340002,0.7651783788337226,1.0505444238147206,4.388544146457454
360470348001,0.2970724937111867,1.7935712800087975,3.923638427563901
360470356011,0.4555138498707184,1.5339696902167665,2.478559547711754
360470360013,0.3686250746787494,3.4397952925845345,8.223850133043054
360470366003,0.24569839401056826,2.1080190586459557,4.54099377109176
360470374011,0.41076582820988317,1.1356914435370187,1.9813389972908517
360470374021,0.2606200819125304,1.6253478969041444,3.687356417619048
360470374022,0.3000044440446338,1.962497267885519,3.510845804071862
360470374023,0.3853574949576365,1.2764312492780903,3.1800632376377926
360470433002,0.5299720186788138,1.0538360991147044,23.81346778737669
360470433003,0.3054673107745678,2.5975531145901845,22.482506897780034
360470448002,0.539513208856348,1.683447681194839,5.821252809120139
360470449001,0.5383076525644452,1.512474704466877,3.0704145388682784
360470449002,0.24059208500995122,3.5097593495183195,19.631625868514856
360470449003,0.05132033785158019,1.1809227892761953,16.63993962751232
360470460003,0.803570598541107,1.5937726581421998,2.659014429612803
360470508011,0.8280620758552953,1.3015462641077065,21.078598426078134
360470508012,0.5686360091111746,1.2492173198897092,17.402256493116177
360470508041,0.68019769857215,1.4478308250287029,3.7900261155437738
360470508042,0.6671368055413958,1.5238303472830523,2.472513369092468
360470508043,0.8044456009989415,5.354770207120366,34.79006860632049
360470510011,0.5018273237793995,1.1764593971813813,3.1008173000564767
360470510012,0.2937932552450867,2.42705215880857,5.1724860474157275
360470183002,0.8359162444949442,1.375337743511409,6.865048202199394
360470184001,0.28041471764387205,1.14083560703682,6.637381101159079
360470184002,0.3466785881983194,1.5743157605225662,7.173731607144247
360470185011,0.3739362306478571,1.3344340643882902,36.60939720127537
