cbg,cost,K_POI_diversity_where_store_is,G_Distance_between_cbg_and_store
360810450001,0.7074030681351244,5.506041140906631,1.6885685424866637
360810452001,0.3717228880826442,7.650907902162004,39.95681251528708
360810454001,0.14821104124507722,4.8058469767136245,17.68852730515671
360810455001,0.34741377403985374,1.9758557487896526,5.902756929834347
360810664003,0.5007784139028303,1.9457248745234303,3.322413832469091
360810775002,0.6858769659244767,2.3557707066041935,2.49574444466635
360810621003,0.2545155260539429,1.1135300398203631,8.691003106037712
360810779024,0.6132954388994084,3.3033519087572873,2.9248633162868884
360810779025,0.6291490338301863,8.235638505279246,4.01574536748077
360810779023,0.649188354416449,1.1940955607629036,36.88429711006919
360810779021,0.5424556873634843,3.6103763118111063,3.287369011068005
360810779022,0.6230026611065005,7.528572297895163,2.621418865572849
360810779032,0.5350568626503478,3.308307793503989,2.2579248055915713
360810779031,0.42591383588415854,3.445519325285843,6.277998464823907
360810779041,0.4232147273284491,3.080556659806149,4.941429306600669
360810779044,0.3715569667917574,1.5889014755391742,5.669620878603032
360810779043,0.04875566189625602,2.783087561138327,11.703647682642838
360810779042,0.3303012907646429,2.2057205564204168,6.936578335494509
360810779052,0.26751106995763085,1.1791501411341638,11.776003729520596
360810788001,0.3614302103824406,6.902191089115041,35.96066155762453
360810788002,0.48708680691033546,1.4679053484784528,38.94050242915442
360810790002,0.42989859623447524,3.7417950399431987,4.802638841549779
360810790001,0.34175776446249795,4.859194303743685,28.978637525809365
360810792002,0.4845575428004709,3.1428578566748016,6.147252853126676
360810792001,0.48550218966119985,6.001254017130464,37.90171576511773
360810799001,0.2795034443942863,3.929770683467229,5.64810234276192
360810799002,0.19858701162722026,3.6737712632755475,6.097121997474773
360810803012,0.15803242107634552,7.889512552387746,9.205458941265789
360810803011,0.19056972030320696,3.7649403652546005,6.662321327612673
360810803022,0.3940215638261383,5.510697968515309,4.5911646603816845
360810803021,0.4488319642298243,7.050667741666466,4.762699354191
360810809001,0.5190394336334504,6.722250868302674,3.083714581984278
360810809002,0.5992768668676784,9.181198548036015,2.4633099936571323
360810185012,0.24890411864741324,1.5517590520322244,14.179902052376171
360810185013,0.6907149600530229,1.386215258589115,3.623310827992043
360810185022,0.5971581778925391,4.033587595572644,4.563438942010663
360810185023,0.45681713623929965,2.131442527671993,5.882177893748316
360810192002,0.016537953537193117,4.19910772830481,35.065223907538694
360810194001,0.26278255579876897,1.779625386502399,9.727469894582857
360810220014,0.6758610916944459,7.987596571169497,3.1098162182625915
360810220024,0.5216653054291338,37.70693045962971,29.407587343129443
360810235004,0.5452423629381828,2.6069230857512693,16.280623066397517
360810240003,0.503093021471911,3.063154070516241,3.9078512175342794
360810253011,0.9115942201804237,1.9101286670933888,4.14696918416962
