,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08
10466,75.36295081967215,137.72654320987655,131.48874999999995,83.37951807228914,83.94243243243241,82.41444444444444,129.53298507462682,88.66175438596491,73.90159420289856,89.65092307692309,125.16077922077919,164.24344086021512,101.19411764705883,124.46333333333334,145.4406315789474,136.90727272727275,131.00544117647055,133.28225352112668,86.15238095238097,81.50000000000003,129.26228571428572,146.48430555555555,135.47863636363638,191.26320000000007,111.43462962962964,174.79446153846155,165.26082352941185,137.14063291139232,100.02638888888893,114.81589743589741,84.34606741573035,97.61029850746269,94.4794117647059,135.29794520547946,149.18973684210528,220.36989795918356,62.86939024390248,158.23479999999998,173.78830508474573,119.10254716981129,181.65112149532715,187.84531914893617,151.07407079646018,123.86780000000005
10469,104.07079999999995,94.51719298245615,105.24802631578942,88.46299999999998,119.75123076923079,82.08552238805969,111.87836363636363,76.89479999999999,101.42220000000002,91.02381818181816,110.46508196721312,152.16676470588231,104.45414634146343,114.48510204081633,128.41703124999995,121.65043478260868,104.84796296296297,90.59625,104.64725490196079,88.45531914893618,76.89685185185186,112.0048076923077,137.1880281690141,187.37756756756755,127.43300000000006,109.90804878048782,143.75260273972603,122.37867924528301,102.76795918367345,111.92785714285716,67.72813559322034,68.4211111111111,82.30773584905661,125.34051724137932,115.13426229508198,132.69025974025982,83.72035087719303,133.98019607843136,91.5918367346939,127.87505617977531,153.76000000000008,184.99977011494252,210.84363636363634,132.40717391304352
10470,70.31166666666667,65.922,95.67750000000002,92.50571428571426,88.3885714285714,70.80533333333334,99.26222222222222,66.65461538461538,97.86076923076925,128.81769230769228,129.25333333333333,82.1391304347826,73.31700000000001,105.59428571428572,118.48611111111111,111.70416666666665,109.45533333333334,81.25692307692309,50.194444444444436,48.28333333333333,68.81,62.75315789473683,77.20464285714284,68.094,83.95500000000001,106.256,111.59823529411767,57.51764705882353,96.80357142857142,76.49866666666667,53.25899999999999,55.150526315789456,98.34285714285716,95.39,93.44535714285713,104.81285714285715,54.973888888888894,122.66416666666665,115.05166666666666,80.662,98.73416666666664,141.04702702702704,92.62512195121951,76.356
10475,78.48625000000003,70.385,115.40999999999995,87.90975609756103,89.39815789473685,148.30617647058824,78.43999999999998,90.35969696969697,89.16500000000003,67.72878787878788,71.96960000000001,129.4669841269841,72.55812499999999,106.72655172413795,72.00179487179487,84.44310344827586,95.14272727272729,84.45405405405407,83.72964285714286,83.204,77.07875,87.86777777777779,146.49357142857144,153.54794871794874,65.21629629629629,106.7435714285714,110.3702777777778,79.69138888888888,84.39111111111112,72.60076923076922,73.34206896551724,101.48468750000004,85.86225806451607,84.34217391304347,77.13235294117646,136.00809523809525,53.0132558139535,68.33735294117648,68.60904761904762,63.33529411764706,96.04340425531919,88.13545454545454,116.70048387096774,82.43761904761904
10461,85.70428571428572,96.31066666666666,57.96066666666668,85.87947368421055,79.96642857142858,80.29787878787882,42.02666666666666,90.63250000000004,77.98076923076923,70.26846153846155,88.31942857142857,99.28976744186046,101.22392857142859,104.8311111111111,92.55470588235296,148.76533333333333,79.9103125,72.29838709677419,107.25428571428571,62.09999999999999,74.67925925925925,95.48473684210528,100.62088235294117,95.08741935483874,83.95586206896552,95.44060606060606,109.8192452830189,73.14976190476189,70.24897435897437,74.055,90.74379310344828,58.41580645161291,99.19486486486481,90.20607142857143,92.75785714285713,102.79050847457626,50.24724137931033,69.92133333333335,74.70058823529412,75.48368421052632,57.04999999999999,108.7503448275862,108.42605633802818,73.00756756756755
10462,76.56418604651162,129.84618181818183,213.67930232558138,120.52688524590161,84.91694915254233,76.02363636363633,77.44179487179485,94.03399999999999,65.90545454545453,105.58463414634143,115.3857446808511,163.60934210526312,141.4824444444444,183.37372549019608,109.22183333333335,130.61425531914892,105.80619718309856,85.71716981132077,107.3087804878049,98.47789473684207,107.98755555555553,101.43687499999997,139.93257142857146,151.4129268292683,73.14920000000001,135.40290322580648,156.14102941176472,134.155,155.26425925925926,110.40762711864409,130.513125,115.51875000000003,98.78166666666671,102.17301886792454,119.98766666666666,182.3025641025641,83.41709090909093,122.42180000000002,131.11243243243246,93.31447058823527,127.10150684931504,220.14306818181822,181.80577319587633,149.71357142857144
10464,50.36,74.826,80.31,48.317499999999995,15.699999999999998,0.0,69.43333333333332,47.835,39.7725,45.677499999999995,122.4075,0.0,223.79500000000002,57.52199999999999,15.0,0.0,40.720000000000006,65.5,43.394999999999996,46.585,101.535,3.0,32.54,175.017,21.0275,183.21,0.0,36.144999999999996,33.08,68.08500000000001,113.0,91.76,3.23,0.0,33.26,78.98833333333333,19.555,239.26999999999998,0.0,0.0,9.75,130.72,131.97,21.56
10465,65.99896551724137,74.22333333333333,87.27428571428572,106.200243902439,95.04555555555558,85.13057142857146,85.10656249999998,64.45137931034483,111.15999999999998,96.62793103448276,103.72230769230771,140.87285714285719,105.12952380952382,74.61911764705883,86.18040816326531,57.593333333333334,67.43636363636364,73.6639393939394,79.94166666666666,66.59724137931035,56.622903225806475,68.44258064516129,99.53270270270271,130.84888888888884,93.47588235294116,83.47899999999998,80.81727272727275,83.17935483870967,94.95384615384616,71.27804878048778,63.29157894736842,76.16558823529411,97.65116279069765,86.07675675675677,110.91613636363633,141.33228571428575,80.5590243902439,125.21108108108109,60.61629629629629,74.91350000000003,102.88750000000002,110.63675675675672,157.10450000000003,93.4948275862069
10472,73.49799999999998,118.29955223880597,114.45239436619723,110.03805555555554,118.99737499999996,91.05296296296294,81.35484848484849,105.81156862745101,75.1813953488372,108.26482142857148,140.95,181.06237500000003,71.48875000000001,164.87999999999994,141.8052054794521,115.57189655172411,76.19254901960784,107.95745098039217,98.92867924528302,96.03218181818174,90.14244444444444,127.89060606060602,149.8001449275362,211.7967901234568,148.42777777777778,160.52090909090904,172.00727272727278,148.7019718309859,128.6716901408451,158.94628571428564,132.426,79.17166666666665,118.051,89.31896551724141,113.06166666666672,157.34965909090914,67.10565217391304,146.83307692307687,118.54974999999995,91.33135135135137,145.7569230769231,226.83024390243904,162.68180722891563,143.4092307692308
10473,86.405,121.41738461538465,115.81216216216212,162.93426666666676,130.07347826086954,87.44269230769231,105.58967741935486,99.01054794520546,92.40927272727274,66.74941176470588,148.17045454545456,155.27679012345675,88.86272727272727,137.9289655172414,140.1670149253732,100.29285714285714,82.30206896551724,117.64080000000004,90.8389285714286,67.00021276595746,65.05837837837839,108.90489795918367,142.68805555555565,164.42569620253158,132.34294117647062,110.44036363636361,167.900253164557,120.75553846153845,106.50188405797098,94.61796875000006,93.53924242424239,81.12706896551727,106.89036363636359,98.85586956521735,136.50090909090912,185.3053658536586,82.43491803278688,93.41896551724133,145.22760000000005,122.17855421686748,150.17339622641515,179.05093023255804,126.42637362637363,145.84149999999994
