,2017,2018,2019,2020
10453,115.72730676328501,123.77095907928393,126.24907335907322,170.50355932203377
10457,111.80394707827998,115.01731934731917,149.6646316964287,164.173004750594
10460,126.53773606370869,132.3835562987737,158.35713973799133,168.79778181818173
10458,116.41045402951195,129.1424197530863,134.19537544696078,147.00769696969695
10467,127.30246236559117,127.02143348623885,136.93989932885913,151.285684931507
10468,105.69745046235148,105.04767341040446,107.05380519480515,138.19004285714283
10451,90.01525925925931,123.37132911392416,107.29199281867156,134.94024390243902
10452,103.9274153074028,126.68886920980935,123.98781208053701,161.02850980392148
10456,130.43104270109234,147.50084439083236,159.73788503253795,174.00600000000014
10454,92.7995612431444,107.55118959107816,107.60563850687623,123.9464458804524
10455,106.3140753424657,106.66427304964532,121.38184745762706,138.8114779005525
10459,111.20491059147166,113.5616231086656,121.80137880986908,150.49998577524897
10474,80.80665306122444,94.48839416058392,88.5815589353612,105.24367041198494
10463,83.95621376811584,79.01194805194797,88.58197106690781,120.00660117878199
10471,83.77036144578314,76.80646153846155,60.82402985074625,89.02034090909092
10466,108.65827313769749,132.76150341685658,134.62460176991158,141.39310421286024
10469,103.90472375690601,118.30485225505441,110.46031157270028,137.63907202216063
10470,90.84468354430379,82.94757894736836,87.82990243902437,99.2772680412371
10475,96.89004926108367,97.39892500000008,91.02356234096702,79.12680904522614
10461,81.72493939393934,94.73099737532807,88.57796460176989,79.85069053708442
10462,112.36877022653725,123.01291044776123,128.74487603305778,136.68740458015264
10464,61.91815789473684,103.02472222222221,66.61260869565218,112.40538461538462
10465,95.98495555555566,83.70414999999998,94.00285714285717,102.83190775681348
10472,113.63531125827815,127.20578871201174,135.40877777777777,135.50163235294113
10473,117.90733505821468,113.99661764705867,122.81814814814801,127.13257853403142
11212,128.157448210923,173.06225311601114,196.61857838364182,200.70745421245428
11213,106.49873177842554,129.10222413793093,153.0393269230768,150.0494658753709
11216,97.3126641651031,115.74648648648673,128.25903288201158,140.72526838966203
11233,126.73300492610853,158.45625841184406,155.71016548463376,163.90657142857145
11238,84.66988980716255,119.97195652173916,108.7758707865168,100.3649315068493
11209,88.74811594202893,101.98923913043484,67.63153846153845,100.20911111111117
11214,77.78984423676009,87.08465587044536,75.11139751552798,89.03521739130433
11228,90.46764331210187,65.11073170731709,58.16328467153282,76.93944785276074
11204,118.96888324873105,89.58896551724139,92.03125,72.277881773399
11218,87.87702479338844,84.28324561403501,75.54066945606696,110.90988929889303
11219,89.08673913043476,108.86938144329896,72.10563218390803,113.02543749999998
11230,76.35744966442957,78.4194576271187,80.67126436781614,113.34237244897955
11234,102.8523728813559,101.59986486486478,94.97098662207358,111.91364746945902
11236,119.42673548387096,134.5639256198346,134.51957107843137,151.02112640801005
11239,75.43465116279069,82.4446987951806,83.97115830115831,95.02050541516245
11223,83.73937254901968,93.92799331103683,87.45895184135975,86.59480812641078
11224,101.4470661157024,110.00907975460127,111.91059891107085,96.16522045855379
11229,87.12657210401892,124.2122276029055,100.96263157894738,105.7294736842105
11235,93.59130919220051,92.56618320610696,89.95240384615383,104.23159420289858
11201,79.02892473118274,88.06747692307695,83.32890862944154,93.72997023809522
11205,91.88776349614399,103.00810298102981,102.62930348258709,117.24094629156008
11215,87.53916666666673,71.52081818181817,91.20253846153848,85.84289655172407
11217,87.43925110132149,99.03281250000006,101.097875,114.90768571428566
11231,92.36403041825103,105.43702127659574,99.7374498567335,106.90425824175824
11203,112.21320833333355,118.82583061889265,148.01201481481482,149.1012098009187
11210,85.09675925925927,106.82497499999988,97.17559113300493,120.20931279620854
11225,100.66005628517831,101.39452716297784,106.24955357142876,119.76629629629629
11226,114.06491675915656,138.93608836206892,143.63106652587103,165.8631194968553
11207,141.24136490250697,168.35884200196284,188.8874252651877,199.30153771760155
11208,118.1271459227468,134.94858942065508,144.58076744186033,163.59172653534176
11211,88.90222222222214,90.79907949790787,93.28465256797573,105.54297071129704
11222,75.00289719626167,61.27827956989248,83.86883333333331,96.86411347517729
11220,92.55815286624207,84.95189781021901,87.25974820143885,99.81334572490708
11232,68.51936781609194,77.44888888888883,109.27745562130185,96.02708542713565
11206,96.43689189189176,139.34375552282762,121.60694483734092,161.18582152974517
11221,120.99479827089333,140.4720762711864,144.25745827984568,149.61637319316696
11237,89.20180555555554,87.2032926829268,95.4105263157895,90.6906868131868
10026,79.12044910179651,96.24738738738749,99.31867088607594,104.09763975155279
10027,94.4239603960396,105.07414285714285,128.7322998296424,110.68732558139538
