,2017,2018,2019,2020
10453,283.5103305785125,373.6450824175824,526.4864383561652,1064.0311922141113
10457,291.7526330532213,336.5586350974934,403.8728021978024,990.885571776156
10460,218.37533333333297,281.81274787535386,357.5828729281768,870.6113868613131
10458,237.65413294797702,298.26740947075206,378.1456043956049,859.0046958637462
10467,236.84106936416217,267.96269444444425,357.8483746556471,705.3556934306571
10468,274.58966573816144,346.90679452054843,432.03785714285704,766.3286063569687
10451,251.47356545960994,352.4892602739723,386.6011780821919,765.6236009732364
10452,271.7411357340722,410.3204383561649,465.0864835164838,918.3830900243305
10456,383.20752066115693,456.93346153846164,641.7881593406593,1332.771338199513
10454,173.48078549848935,261.69128205128226,327.43272727272716,719.9340487804868
10455,180.35601190476177,233.1627665706053,276.974886363636,706.2423471882632
10459,187.38709677419328,287.261335227273,367.0339010989012,812.6148418491483
10474,91.3812775330396,116.81796610169484,117.84678832116788,238.97588390501315
10463,235.80711538461546,306.2212054794518,440.09378082191773,710.8658394160581
10471,69.95666666666664,54.54576923076926,49.47196850393701,98.20876470588236
10466,187.08768571428564,247.54388888888897,304.52738292011026,656.2047688564473
10469,109.3341800643088,142.88534954407288,176.029,396.42116915422906
10470,52.40849206349209,69.81710344827589,102.32018292682918,171.45541666666665
10475,85.54236453201975,86.05830434782614,108.53395759717317,189.81656992084444
10461,93.75003937007872,153.52688102893887,149.4919287833827,247.27646464646477
10462,143.5165624999999,174.51934718100884,209.2625988700566,501.19816176470556
10464,91.33225806451614,88.21136363636356,59.91875,107.14196428571428
10465,191.67108761329297,202.09029498525067,260.1255056179774,357.78348894348886
10472,177.69674556213002,239.2966573033707,292.445316804408,576.7212469437648
10473,211.52040229885037,323.4556629834258,344.8137845303866,737.2406326034059
11212,423.894958677686,528.0753972602744,663.3296712328769,1536.6023170731717
11213,231.78000000000006,291.7147922437671,354.5359065934062,645.0635121951219
11216,214.60871060171942,197.29067988668547,215.48776859504176,407.85459459459463
11233,371.8906043956042,449.71635616438357,464.06183561643815,885.3841666666665
11238,150.10800586510254,165.98596638655454,202.23293296089378,433.0795354523226
11209,74.50846153846155,72.65671875000002,64.79928571428573,106.24558730158721
11214,53.397074829931995,52.36069767441859,87.34048611111115,101.15134482758623
11228,62.098556701030944,66.80851648351646,101.89865384615385,92.74367231638416
11204,45.49570093457947,57.12676923076922,77.98369565217389,113.71284574468078
11218,73.81483870967742,85.05121951219508,74.82931034482765,112.93163934426232
11219,70.2577707006369,66.95382513661211,64.67737777777774,86.83945392491468
11230,76.47669683257917,100.65010067114102,121.66268072289166,220.0394933333334
11234,135.6381058495823,175.54629213483148,204.92614730878176,367.81378048780493
11236,217.85596685082862,285.3154246575339,407.5553972602739,773.9863902439024
11239,88.92943877551026,92.74131274131268,116.33422680412367,230.71512886597947
11223,111.31175115207377,62.67071428571429,84.06687272727262,203.76701612903219
