cbg,cost,R_Percentage_of_Visits_by_brand,G_Distance_between_cbg_and_store
360050336004,0.0625794668190471,2.625363802225252,34.733395067372726
360050336005,0.0856287678649487,3.0484356652379816,22.572794013934192
360050336006,0.050840551700769,2.218802299717936,25.66634820146705
360050337001,0.0238781695965367,3.0080616012555907,19.315106369006827
360050337002,0.0631934752583114,3.660214498222092,11.36721517088834
360050419005,0.2735214601086386,1.2477636704379125,7.661260974838496
360050419006,0.5449153758353196,1.3164286571412218,4.405069802517275
360050419007,0.4231755395225355,1.9878099519130248,3.282267170646271
360050421005,0.3064243025071909,1.1682273811775286,6.764683649495342
360050425004,0.1442538676894946,17.97081037296442,15.71761694658252
360050279001,0.0721764943501986,2.427890532983241,3.865344928070956
360050295003,0.0374771817341115,3.858203417765387,33.30159365170376
360050419004,0.4381803896046271,1.2635588367868849,3.4478954977071865
360050414003,0.2095748048348327,2.6757831550348428,18.84707767529081
360050460002,0.5546628942263634,1.054355325703892,2.4571283007371454
360050431003,0.0088075008696093,10.165490607255787,39.9700345020265
360050279002,0.0256148518006475,2.941318863726721,4.733642038510565
360050399021,0.2093688069651834,1.908030624931306,6.682266383857879
360050404002,0.2598739904966438,8.514880645154323,9.852080347969665
360050408001,0.5040105879788968,39.44144529049188,39.95550585966828
360050340002,0.0800684730662714,1.433372618656037,20.9315238769828
360050266011,0.1622400801063753,35.38109871992569,32.39010840079235
360050449012,0.4146692796482442,2.02600344881607,4.621973620399457
360050388002,0.6073676871909299,1.5535047450755428,2.0167062829396656
360050386003,0.6575393420266005,1.0175814687411275,8.025195486089299
360050409001,0.0736852578310865,2.1385102505508087,16.45269723076438
360050350001,0.4695057023346729,1.0714403882563772,4.68902030563838
360050462021,0.4987107974734306,1.0515927242868912,5.67356039540234
360050462011,0.2723282460032282,2.284513254627413,12.208421192966544
360050369011,0.2541237150192521,1.5460724487883772,11.398115294711133
360050399022,0.3044692610662153,1.1435501881997825,8.11527838670871
360050184001,0.3478495455029964,11.962574913768403,39.00588277740118
360050138002,0.3985714578314829,1.8173105811359989,4.688094502203967
360050193004,0.0052131744283512,14.226517084911332,39.69307723130882
360050195002,0.0398857799017262,1.1943441301589433,20.56003705679022
360050197003,0.3753142391844478,1.4862373901652957,4.801391519484525
360050200001,0.0791879066343362,29.874818637949325,12.301478704990927
360050205014,0.231848863131739,39.52196154492414,13.133215558172877
360050205021,0.6358710901434481,1.838017071974865,2.0481448621189458
360050209004,0.2175474089993379,1.2609234374126808,7.0607816749268295
360050211004,0.0989165754508032,1.0809486989278554,7.685954720521993
360050216012,0.1067237176849563,1.0171963617665312,6.011312503875956
360050217004,0.7182762700563436,1.594459372885492,2.051308867713182
360050221012,0.0159525904715113,1.462197137844882,9.964140676648016
360050221013,0.0659479196872289,1.6085721695032331,11.194945715304442
360050221021,0.064748590917773,1.3036090853940892,32.87496260847065
360050221022,0.0735036563601218,1.7528073680407568,11.594015290839913
360050222001,0.4058595792756539,1.1049763169630538,5.900569721193039
360050224031,0.5828567493649606,1.3899320392009145,3.006206228132968
360050227012,0.4731802040441419,1.0284908697067865,10.275854146759372
360050228002,0.6580841389849486,1.177596665886412,2.54771383378653
360050229023,0.3299119508826919,22.478981874471444,8.013103648718946
360050237042,0.201161121358959,1.2786472048784825,9.490625724448794
360050237031,0.1989562184850374,12.85610111046212,12.97085478342742
360050238001,0.7454935415196016,1.2526574127186691,23.903119223327707
360050238002,0.711367905007308,30.948807536530456,39.97115466542385
360050238003,0.4340789693816265,1.1719128386718942,5.105953596612132
360050239003,0.1396026410124294,1.1521370420170474,13.42920616017232
360050239004,0.0057446355984079,1.0005566334585296,20.154465764046925
360050241002,0.232306700939039,19.760673818419576,20.64362663066722
360050241003,0.271079578387783,11.56859209714392,3.640773373039978
360050245011,0.1941788967666573,13.237990962317951,4.5064810861369295
360050245021,0.2152210182323576,39.51023994741283,34.13706001641773
360050251005,0.2719054830987226,1.251686897259816,8.970701099782886
360050252002,0.4095542137413294,39.24254566965208,4.813375142273892
360050425005,0.0189968060988603,9.22645022708371,24.426969692449905
360050425006,0.318626171393541,1.2803933963336078,6.542142332027439
360050425007,0.1488198692522405,1.448914692119331,13.21839054956938
360050426003,0.1453800833590771,3.6693692642976905,4.977022491192127
360050426004,0.2795516658475646,34.50673116525998,21.592115097703385
360050426005,0.2752544477903478,7.63152841421415,6.493115007203244
360050426006,0.4281264971319592,1.142683605391028,4.316817666950241
360050429013,0.0229580556006713,16.881583230656247,17.454479382454057
360050429023,0.6739248380619354,1.833554667030684,1.5972205042760277
360050430002,0.3016351139580011,1.2786663268339962,10.9851213632013
360050430003,0.3627294102437339,1.4958182378421343,29.138785464210336
360050431001,0.0038839622865916,1.2526958923322449,39.68697151229242
360050431006,0.0115624594383687,37.40452370496139,39.90685946718132
360050431007,0.0281887415368896,23.74924644646307,39.9439609833052
360050431008,0.4807258189520094,1.6065099511195575,2.3477630329503336
360050434002,0.0461266871369079,1.2914037092279358,22.44569328138335
360050434003,0.0629674175706686,1.0247749644794963,15.93849994557428
360050435001,0.3191755847764337,1.3816021520724746,10.073563404342416
360050442003,0.2587027046265804,1.5958630292846796,6.867816507515363
360050442004,0.5038359984003244,1.553775203234293,3.2463739288588243
360050442005,0.3818191357134818,2.311737475423774,39.75691680167012
360050456002,0.3612564968298762,31.71564655334284,9.872894611188729
360050456003,0.0565045078049623,2.4778348705437523,9.987009892686714
360050307011,0.4647508255146949,1.3951761863150929,7.7118393690945055
360050370001,0.5592174833719388,1.9509944949233216,5.595393256545151
360050072001,0.1496875676668111,1.355441649140964,16.498205326483323
360050073001,0.0589660410908485,1.25103616128942,15.456096270409764
360050312001,0.0733599951634677,3.587059428726712,9.15322654167332
360050324001,0.2323536699080275,1.0449087635806364,34.88857080378257
360050070001,0.7162462293284166,2.107083056047852,2.066876251213749
360050336002,0.0976135945875671,2.175399743382968,22.34133571584508
360050223002,0.0315110070487648,1.040232703961545,17.746370178469277
360050365011,0.1245695443291518,1.007332680114544,28.79820514907973
360050398001,0.4729156537525518,1.3267177499295792,2.102140510012831
360050296001,0.4142815839825144,1.3851295782741886,6.032399453548209
360050144002,0.3695305253632294,1.4512168261639005,4.537066092324009
360050413004,0.0877260381862947,4.786642650436002,7.61827030476674
360050408002,0.546561845141049,1.7652653091255652,4.170084184274472
360050323002,0.0226582177432825,3.896606343131927,9.290792769606549
360050363003,0.0824933529954841,1.7600925761339283,26.47289049449676
360050244001,0.1559600408043886,10.62693231821244,3.961688268166621
360050253003,0.2281242597186911,1.720367614251856,7.509596660273047
